id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
137,137,137,AURA13,Prospection PV MC - 3,solaire,CR,2026-07-01,2046-07-01,,4.9248,TRUE,,1,,
138,138,138,N2,Febvin-Palfart Fiefs (FPF),éolien,CR,2027-04-01,2047-04-01,,10.235,TRUE,,1,,
139,139,139,EC2,Fermes de Septenville (BOC),éolien,CR,2027-04-01,2047-04-01,,11.04,TRUE,,1,,
140,140,140,GO11,FEVA (Co-Dev Nordex),éolien,CR,2026-11-01,2046-11-01,,7.2,TRUE,,1,,
141,141,141,S18,Fond de plaine (Repowering),éolien,CR,2025-11-01,2045-11-01,,4.32,TRUE,,1,,
142,142,142,GE1,Eparmonts-Repowering,éolien,CR,2024-05-01,2044-05-01,,13.2,TRUE,,1,,
143,143,143,AURA14,Coucouron (Laoune),solaire,CR,2025-01-01,2045-01-01,,7.695,TRUE,,1,,
144,144,144,N1,Helfaut (SSO),éolien,CR,2024-06-01,2044-06-01,,17.8,TRUE,,1,,
145,145,145,AURA15,Trizac,éolien,CR,2026-08-01,2046-08-01,,42.72,TRUE,,1,,
146,146,146,SE09,Heintz (PV),solaire,CR,2025-12-01,2045-12-01,,15.39,TRUE,,1,,
147,147,147,NGE1,Repowering Boulay,éolien,CR,2024-08-01,2044-08-01,,11.2,TRUE,,1,,
148,148,148,GO32,Igoville Lafarge,solaire,CR,2026-01-01,2046-01-01,,9.234,TRUE,,1,,
149,149,149,B3,baurèch,solaire,CR,2026-06-01,2046-06-01,,4.9248,TRUE,,1,,
150,150,150,AURA16,Cézens,éolien,CR,2027-11-01,2047-11-01,,19.2,TRUE,,1,,
151,151,151,N10,Le Moulin d'Hestrus (LMH-62),éolien,CR,2025-12-01,2045-12-01,,9.6,TRUE,,1,,
152,152,152,AURA17,Saint-Cernin,éolien,CR,2029-05-01,2049-05-01,,10.8,TRUE,,1,,
153,153,153,ECO4,Mont de Bagny II (XMB),éolien,CR,2024-11-01,2044-11-01,,13.35,TRUE,,1,,
154,154,154,GO22,Les Moulins du Lohan ,éolien,CR,2023-05-01,2043-05-01,,64.6,TRUE,,1,,
155,155,155,SE07,Mazagran,solaire,PPA,2024-09-01,2044-09-01,,81.567,TRUE,,1,Michelin,France
156,156,156,S12,Mas Saintes-Puelles,solaire,CR,2026-01-01,2046-01-01,,6.156,TRUE,,1,,
157,157,157,SE11,Cruis,solaire,CR,2024-12-01,2044-12-01,,12.66255,TRUE,,1,,
158,158,158,ECO9,Seuil du Cambrésis (RIB2),éolien,CR,2024-12-01,2044-12-01,,11.8602,TRUE,,1,,
159,159,159,EC1,Frégicourt (COM),éolien,CR,2025-02-01,2045-02-01,,12.8,TRUE,,1,,
160,160,160,S11,Miremont,solaire,CR,2027-03-01,2047-03-01,,7.695,TRUE,,1,,
161,161,161,GE3,Vallée de l'Arce Extension,éolien,CR,2024-11-01,2044-11-01,,28.8,TRUE,,1,,
162,162,162,SE10,Montagne d'Aureille,éolien,CR,2027-12-01,2047-12-01,,14.4,TRUE,,1,,
163,163,163,AURA22,Chazottes / Rageade,éolien,CR,2024-11-01,2044-11-01,,25.6,TRUE,,1,,
164,164,164,NGE7,Neuvilly-Briastre,éolien,CR,2026-09-01,2046-09-01,,11.52,TRUE,,1,,
165,165,165,GO13,Bois Désiré,éolien,CR,2025-02-01,2045-02-01,,8.9,TRUE,,1,,
166,166,166,N4,Ouest Château-Thierry (OCT)*,éolien,CR,2027-01-01,2047-01-01,,18.423,TRUE,,1,,
167,167,167,N8,Ouest Vron (OVron),éolien,CR,2025-08-01,2045-08-01,,26.88,TRUE,,1,,
168,168,168,SE19,Pézènes-les-Mines,solaire,PPA,2023-01-01,2023-12-31,,16,TRUE,,0.4,Axpo,France
169,169,169,B6,Plaisance,solaire,CR,2026-01-01,2046-01-01,,12.312,TRUE,,1,,
170,170,170,AURA24,Mercoeur,éolien,CR,2025-02-01,2045-02-01,,31.328,TRUE,,1,,
171,171,171,N3,Fontaine-lès-Boulans (FLB),éolien,CR,2025-04-01,2045-04-01,,18.423,TRUE,,1,,
172,172,172,AURA26,Astet (La Verrerie),éolien,CR,2027-10-01,2047-10-01,,14.4,TRUE,,1,,
173,173,173,AURA27,Lespéron (La Fayette),éolien,CR,2027-08-01,2047-08-01,,14.4,TRUE,,1,,
