id,asset_id,projet_id,projet,technologie,cod,mw,taux_succès,puissance_installée,eoh,date_merchant,date_dementelement,repowering,date_msi,en_planif,p50,p90
84,84,SPH,St Patrick Hermin,éolien,2010-02-02 00:00:00,11.5,1,11.5,2746.08701,2025-02-01 00:00:00,2026-07-01 00:00:00,Oui,2027-01-01 00:00:00,FALSE,31958.17493,30036.37555
85,85,SPP1,St Patrick Pernois 1,éolien,2009-07-01 00:00:00,9.2,1,9.2,2746.08701,2024-06-30 00:00:00,2026-07-01 00:00:00,Oui,2027-01-01 00:00:00,FALSE,25111.4969,23601.42133
86,86,SPP2,St Patrick Pernois 2,éolien,2009-08-25 00:00:00,9.2,1,9.2,2746.08701,2024-08-24 00:00:00,2026-07-01 00:00:00,Oui,2027-01-01 00:00:00,FALSE,25783.20284,24232.73436
87,87,SPP3,St Patrick Pernois 3,éolien,2009-09-18 00:00:00,4.6,1,4.6,2746.08701,2024-09-17 00:00:00,2026-07-01 00:00:00,Oui,2027-01-01 00:00:00,FALSE,12722.38065,11957.32246
88,88,TOUV,Touvent,éolien,2016-08-01 00:00:00,13.8,1,13.8,2165.21739,2031-07-31 00:00:00,,,,FALSE,30005.07028,27395.93373
89,89,VAM1,Val au Moines 1,éolien,2017-08-18 00:00:00,11.4,1,11.4,2433.333333,2032-08-17 00:00:00,,,,FALSE,24994.54352,22597.80647
90,90,VAM2,Val au Moines 2,éolien,2017-08-18 00:00:00,5.3,1,5.3,2433.333333,2032-08-17 00:00:00,,,,FALSE,11800.55804,10668.99768
91,91,VAA1,Vallée d'Arce 1 (DR),éolien,2009-12-02 00:00:00,13,1,13,2413.33333,2024-12-01 00:00:00,2027-06-30 00:00:00,Oui,2027-12-31 00:00:00,FALSE,29574.73291,27328.03359
92,92,VAA2,Vallée d'Arce 2 (NY),éolien,2009-10-09 00:00:00,6.6,1,6.6,2413.33333,2024-10-08 00:00:00,2027-06-30 00:00:00,Oui,2027-12-31 00:00:00,FALSE,14660.14736,13546.46213
93,93,VAA3,Vallée d'Arce 3 (NU),éolien,2009-10-09 00:00:00,13,1,13,2413.33333,2024-10-08 00:00:00,2027-06-30 00:00:00,Oui,2027-12-31 00:00:00,FALSE,28677.45444,26498.91854
94,94,VDMO,Voie des monts,éolien,2017-07-10 00:00:00,10,1,10,2899.0001,2032-07-09 00:00:00,,,,FALSE,29020.802,26479.2
95,95,VRON,Vron,éolien,2013-09-15 00:00:00,8,1,8,2387.5,2028-09-14 00:00:00,,,,FALSE,19634.8,18195.6
96,96,ZOND,Zondrange,éolien,2016-12-01 00:00:00,12.5,1,12.5,1702.4,2031-11-30 00:00:00,,,,FALSE,21783.06641,19960.04863
97,97,APV1,Agri-PV 1,solaire,2027-09-01 00:00:00,3,0.39398,1.18195,,2047-09-01 00:00:00,,,2027-09-01 00:00:00,TRUE,1553.06916,1345.99327
98,98,APV2,Agri-PV 2,solaire,2027-09-01 00:00:00,3,0.39398,1.18195,,2047-09-01 00:00:00,,,2027-09-01 00:00:00,TRUE,1553.06916,1345.99327
99,99,APV3,Agri-PV 3,solaire,2027-09-01 00:00:00,3,0.39398,1.18195,,2047-09-01 00:00:00,,,2027-09-01 00:00:00,TRUE,1553.06916,1345.99327
100,100,APV4,Agri-PV 4,solaire,2027-09-01 00:00:00,3,0.39398,1.18195,,2047-09-01 00:00:00,,,2027-09-01 00:00:00,TRUE,1553.06916,1345.99327
101,101,APV5,Agri-PV 5,solaire,2027-09-01 00:00:00,3,0.39398,1.18195,,2047-09-01 00:00:00,,,2027-09-01 00:00:00,TRUE,1553.06916,1345.99327
102,102,APV6,Agri-PV 6,solaire,2028-09-01 00:00:00,3,0.39398,1.18195,,2048-09-01 00:00:00,,,2028-09-01 00:00:00,TRUE,1553.06916,1345.99327
103,103,APV7,Agri-PV 7,solaire,2028-09-01 00:00:00,3,0.39398,1.18195,,2048-09-01 00:00:00,,,2028-09-01 00:00:00,TRUE,1553.06916,1345.99327
104,104,APV8,Agri-PV 8,solaire,2028-09-01 00:00:00,3,0.39398,1.18195,,2048-09-01 00:00:00,,,2028-09-01 00:00:00,TRUE,1553.06916,1345.99327
105,105,APV9,Agri-PV 9,solaire,2028-09-01 00:00:00,3,0.39398,1.18195,,2048-09-01 00:00:00,,,2028-09-01 00:00:00,TRUE,1553.06916,1345.99327
106,106,AURA01,Deux-Chaises et le Theil,éolien,2027-10-01 00:00:00,19,0.8,15.2,,2047-10-01 00:00:00,,,2027-10-01 00:00:00,TRUE,33288,26630.4
