asset_id,projet_id,projet,date,année,trim,mois,p50_adj,p90_adj
25,CDAR,Comes de l'Arce,2022-03-01,2022,Q1-22,3,2949.0173126400005,2727.549615
26,COBL,Coteaux du Blaiseron,2022-03-01,2022,Q1-22,3,3180.27345034,2849.2454723
27,COCL,Coulonges (CL),2022-03-01,2022,Q1-22,3,3358.72413555,3091.25393805
28,COCP,Coulonges (CP),2022-03-01,2022,Q1-22,3,3092.44019895,2846.17538925
29,CONT,Coulonges (NT),2022-03-01,2022,Q1-22,3,3165.0713202,2913.0225642
30,ECO3,Extension plaine d'Escrebieux (XPE),2022-03-01,2022,Q1-22,3,4657.7959438200005,3980.1295612799995
31,ESDB,Extension seuil de Bapaume (XSB),2022-03-01,2022,Q1-22,3,5014.35924228,4257.04182507
32,FIER,Fierville,2022-03-01,2022,Q1-22,3,2065.2980798,1909.1999743999997
33,FOPL,Fond de la Plaine,2022-03-01,2022,Q1-22,3,855.6313517599999,779.5752238499999
34,FOR1,Fortel 1,2022-03-01,2022,Q1-22,3,3123.98539992,2881.45788504
35,FOR2,Fortel 2,2022-03-01,2022,Q1-22,3,3282.7107784799996,3027.8607710399997
36,HDCO,Haut de Comble (HC),2022-03-01,2022,Q1-22,3,5829.7947554600005,5292.9231953
37,HDC1,Haut de Conge 1,2022-03-01,2022,Q1-22,3,2498.21728052,2305.2655457
38,HDC2,Haut de Conge 2,2022-03-01,2022,Q1-22,3,787.54708136,726.7202839
39,HDC3,Haut de Conge 3,2022-03-01,2022,Q1-22,3,2514.8447779000003,2320.6088066200005
40,IDBO,Inter deux bos (MET),2022-03-01,2022,Q1-22,3,8553.86970135,7737.98195592
41,LACI,La Citadelle,2022-03-01,2022,Q1-22,3,3037.33499904,2811.5871232000004
42,ECO1,La Grande Borne (LGB),2022-03-01,2022,Q1-22,3,2507.27755806,2187.23899914
43,CATE,Le Catésis (CAT),2022-03-01,2022,Q1-22,3,3668.70592754,3366.0162571399997
44,LGCA,Le Grand Camp,2022-03-01,2022,Q1-22,3,2894.59266228,2684.88
45,LEPE,Le Pelon,2022-03-01,2022,Q1-22,3,2995.40886894,2681.50941717
46,LEAG,Leign ar Gasprenn,2022-03-01,2022,Q1-22,3,1753.7,1642.55
47,LCLE,Les Clérimois,2022-03-01,2022,Q1-22,3,1846.43154056,1711.92327526
48,LEPA,Les Eparmonts,2022-03-01,2022,Q1-22,3,2500.267209,2337.7498498200002
49,LMDB,Les Moulins de Boulay,2022-03-01,2022,Q1-22,3,2001.5924742000002,1858.62158064
50,MELC,Ménétréols Les chênes (La vallée 3),2022-03-01,2022,Q1-22,3,1174.4316230800002,1090.23680529
51,MELI,Ménétréols Lizeray (La vallée 4),2022-03-01,2022,Q1-22,3,934.24996754,867.2737306800001
52,MERE,Ménétréols Renardiére (La vallée 2),2022-03-01,2022,Q1-22,3,4592.10081341,4262.89378764
53,MDB1,Monts de Bagny 1,2022-03-01,2022,Q1-22,3,3785.7894871500002,3522.43911685
54,MDB2,Monts de Bagny 2,2022-03-01,2022,Q1-22,3,3853.1458844000003,3585.1100006
55,MORL,Morlange,2022-03-01,2022,Q1-22,3,2351.31708924,2173.6983176999997
56,NIBA,Nibas,2022-03-01,2022,Q1-22,3,2212.5000375,1997.5714625
57,NOYE,Noyers Bucamps NOB,2022-03-01,2022,Q1-22,3,2601.4808654,2433.10140298
58,PANN,Pannecé (BS),2022-03-01,2022,Q1-22,3,2489.379624,2287.196508
59,PANV,Pannecé La Vallière,2022-03-01,2022,Q1-22,3,2233.3997759999997,2052.0069
60,XSAN,Parc du Santerre (XSAN),2022-03-01,2022,Q1-22,3,4994.3827095,4391.0344464
61,PDO1,Pays d'Othe 1,2022-03-01,2022,Q1-22,3,2250.1508102000003,2076.7427796
